# Sherwood number,Power number,LCOW,Energy Consumption,Volumetric Recovery,Membrane area,cp_average,Pressure drop,Average K,Average f,Average Re,Average Sh,Average Pn,Inlet velocity,Outlet velocity,Sherwood number,Power number,Channel height,Spacer porosity,Length,Number of pressure vessels,Telescoping potential,Operating pressure,Outlet bulk concentration,Outlet interface concentration
1.900169e+01,3.727594e+05,8.684101e-01,5.003014e+00,5.000000e-01,4.905276e+04,1.405382e+00,-4.508806e+04,3.706509e-05,5.603190e-01,2.185437e+02,1.900169e+01,3.727594e+05,2.500000e-01,1.251537e-01,1.900169e+01,3.727594e+05,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,7.514676e-02,1.068082e+07,6.981012e+01,9.198160e+01
1.900169e+01,5.179475e+05,8.696601e-01,5.012930e+00,5.000000e-01,4.905276e+04,1.405403e+00,-6.265721e+04,3.706511e-05,7.787128e-01,2.185253e+02,1.900169e+01,5.179475e+05,2.500000e-01,1.251537e-01,1.900169e+01,5.179475e+05,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,1.044287e-01,1.069355e+07,6.981011e+01,9.196001e+01
1.900169e+01,7.196857e+05,8.713978e-01,5.026715e+00,5.000000e-01,4.905276e+04,1.405433e+00,-8.707650e+04,3.706513e-05,1.082312e+00,2.184997e+02,1.900169e+01,7.196857e+05,2.500000e-01,1.251537e-01,1.900169e+01,7.196857e+05,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,1.451275e-01,1.071125e+07,6.981010e+01,9.193002e+01
1.900169e+01,1.000000e+06,8.738139e-01,5.045881e+00,5.000000e-01,4.905276e+04,1.405474e+00,-1.210206e+05,3.706516e-05,1.504436e+00,2.184642e+02,1.900169e+01,1.000000e+06,2.500000e-01,1.251537e-01,1.900169e+01,1.000000e+06,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,2.017010e-01,1.073585e+07,6.981008e+01,9.188837e+01
1.900169e+01,1.389495e+06,8.771741e-01,5.072534e+00,5.000000e-01,4.905276e+04,1.405532e+00,-1.682120e+05,3.706520e-05,2.091508e+00,2.184148e+02,1.900169e+01,1.389495e+06,2.500000e-01,1.251537e-01,1.900169e+01,1.389495e+06,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,2.803534e-01,1.077008e+07,6.981006e+01,9.183055e+01
1.900169e+01,1.930698e+06,8.818489e-01,5.109610e+00,5.000000e-01,4.905276e+04,1.405613e+00,-2.338352e+05,3.706527e-05,2.908271e+00,2.183463e+02,1.900169e+01,1.930698e+06,2.500000e-01,1.251537e-01,1.900169e+01,1.930698e+06,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,3.897254e-01,1.081770e+07,6.981003e+01,9.175031e+01
1.900169e+01,2.682696e+06,8.883560e-01,5.161210e+00,5.000000e-01,4.905276e+04,1.405727e+00,-3.251168e+05,3.706536e-05,4.045160e+00,2.182512e+02,1.900169e+01,2.682696e+06,2.500000e-01,1.251537e-01,1.900169e+01,2.682696e+06,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,5.418614e-01,1.088400e+07,6.980998e+01,9.163900e+01
1.900169e+01,3.727594e+06,8.974194e-01,5.233067e+00,5.000000e-01,4.905276e+04,1.405890e+00,-4.521431e+05,3.706548e-05,5.628751e+00,2.181191e+02,1.900169e+01,3.727594e+06,2.500000e-01,1.251537e-01,1.900169e+01,3.727594e+06,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,7.535718e-01,1.097637e+07,6.980992e+01,9.148470e+01
1.900169e+01,5.179475e+06,9.100558e-01,5.333222e+00,5.000000e-01,4.905276e+04,1.406121e+00,-6.290158e+05,3.706566e-05,7.836730e+00,2.179357e+02,1.900169e+01,5.179475e+06,2.500000e-01,1.251537e-01,1.900169e+01,5.179475e+06,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,1.048360e+00,1.110520e+07,6.980982e+01,9.127101e+01
1.900169e+01,7.196857e+06,9.276969e-01,5.472987e+00,5.000000e-01,4.905276e+04,1.406455e+00,-8.754998e+05,3.706592e-05,1.091956e+01,2.176815e+02,1.900169e+01,7.196857e+06,2.500000e-01,1.251537e-01,1.900169e+01,7.196857e+06,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,1.459166e+00,1.128514e+07,6.980970e+01,9.097543e+01
